locus,class,tissue,RPKM
AluSp_dup45760,SINE,Substantia nigra,441.8547228946431
AluSp_dup45760,SINE,Breast,192.90047977243415
AluSp_dup45760,SINE,Colon,380.68239692222835
AluSp_dup45760,SINE,ESC,498.0811014965171
AluSp_dup45760,SINE,Esophagus,184.91294574740445
AluSp_dup45760,SINE,Heart,411.80556849540795
AluSp_dup45760,SINE,Kidney,317.8433467823538
AluSp_dup45760,SINE,Liver,96.51986416679708
AluSp_dup45760,SINE,Lung,145.6618460417549
AluSp_dup45760,SINE,mTEC-hi,847.9622124930938
AluSp_dup45760,SINE,mTEC-lo,566.8530669727693
AluSp_dup45760,SINE,Skeletal muscle,820.5347858917766
AluSp_dup45760,SINE,Ovary,270.6601133033186
AluSp_dup45760,SINE,Pancreas,50.9219677945712
AluSp_dup45760,SINE,Prostate,771.7929051965853
AluSp_dup45760,SINE,Skin (unexposed),111.91378450876152
AluSp_dup45760,SINE,Skin (sun exposed),139.77892534456987
AluSp_dup45760,SINE,Small intestine,321.72017253575245
AluSp_dup45760,SINE,Spleen,352.25106986467716
AluSp_dup45760,SINE,Stomach,741.9081660015438
AluSp_dup45760,SINE,Testis,1218.394228252596
AluSp_dup45760,SINE,Thyroid,338.0322488574258
AluSp_dup46909,SINE,Adipose,108.14106973890719
AluSp_dup46909,SINE,Adrenal gland,116.69021299538207
AluSp_dup46909,SINE,Basal ganglia,11.823484946767566
AluSp_dup46909,SINE,Cerebellum,44.908831854739795
AluSp_dup46909,SINE,Frontal cortex,13.469768129808509
AluSp_dup46909,SINE,Spinal cord,0
AluSp_dup46909,SINE,Substantia nigra,30.831666926719752
AluSp_dup46909,SINE,Breast,69.2609313403801
AluSp_dup46909,SINE,Colon,361.72775682730384
AluSp_dup46909,SINE,ESC,1003.9101126513068
AluSp_dup46909,SINE,Esophagus,305.7409153628335
AluSp_dup46909,SINE,Heart,73.86971938789665
AluSp_dup46909,SINE,Kidney,251.34999028988523
AluSp_dup46909,SINE,Liver,69.13143960958628
AluSp_dup46909,SINE,Lung,11.29914332522359
AluSp_dup46909,SINE,mTEC-hi,336.9520816180412
AluSp_dup46909,SINE,mTEC-lo,427.5082546152297
AluSp_dup46909,SINE,Skeletal muscle,50.704502841856616
AluSp_dup46909,SINE,Ovary,130.8095313811819
AluSp_dup46909,SINE,Pancreas,130.9451603327794
AluSp_dup46909,SINE,Prostate,144.272141082593
AluSp_dup46909,SINE,Skin (unexposed),88.62473665368454
AluSp_dup46909,SINE,Skin (sun exposed),99.33214350970864
AluSp_dup46909,SINE,Small intestine,354.3239648550314
AluSp_dup46909,SINE,Spleen,256.9547383277139
AluSp_dup46909,SINE,Stomach,143.69886964965113
AluSp_dup46909,SINE,Testis,240.57846734905905
AluSp_dup46909,SINE,Thyroid,401.72158298101255
AluSq2_dup25282,SINE,Adipose,1698.6874058463911
AluSq2_dup25282,SINE,Adrenal gland,1303.8571817187365
AluSq2_dup25282,SINE,Basal ganglia,727.2713871079517
AluSq2_dup25282,SINE,Cerebellum,210.28249145581623
AluSq2_dup25282,SINE,Frontal cortex,565.2651653766
AluSq2_dup25282,SINE,Spinal cord,169.80515351800233
AluSq2_dup25282,SINE,Substantia nigra,412.5119111591543
AluSq2_dup25282,SINE,Breast,2198.5921522765243
AluSq2_dup25282,SINE,Colon,874.9789761645486
AluSq2_dup25282,SINE,ESC,1099.189412813023
AluSq2_dup25282,SINE,Esophagus,1607.341634731632
AluSq2_dup25282,SINE,Heart,519.5378076359476
AluSq2_dup25282,SINE,Kidney,1574.1315230234682
AluSq2_dup25282,SINE,Liver,221.28463907734843
AluSq2_dup25282,SINE,Lung,1901.8968026240975
AluSq2_dup25282,SINE,mTEC-hi,1792.120550227952
AluSq2_dup25282,SINE,mTEC-lo,4597.993714720877
AluSq2_dup25282,SINE,Skeletal muscle,260.99661341465014
AluSq2_dup25282,SINE,Ovary,3617.7482321909815
AluSq2_dup25282,SINE,Pancreas,735.1241134405942
AluSq2_dup25282,SINE,Prostate,1257.0011384540849
AluSq2_dup25282,SINE,Skin (unexposed),2699.062154436919
AluSq2_dup25282,SINE,Skin (sun exposed),2142.8824680616012
AluSq2_dup25282,SINE,Small intestine,1063.329823043413
AluSq2_dup25282,SINE,Spleen,1322.4681093568436
AluSq2_dup25282,SINE,Stomach,1278.305250678342
AluSq2_dup25282,SINE,Testis,783.0108938629243
AluSq2_dup25282,SINE,Thyroid,3173.1611005723353
AluSq2_dup56677,SINE,Adipose,329.51484099471895
AluSq2_dup56677,SINE,Adrenal gland,569.2076111258098
AluSq2_dup56677,SINE,Basal ganglia,276.2246087808113
AluSq2_dup56677,SINE,Cerebellum,328.5798123810387
AluSq2_dup56677,SINE,Frontal cortex,379.5895707867434
AluSq2_dup56677,SINE,Spinal cord,246.76221713960473
AluSq2_dup56677,SINE,Substantia nigra,119.99148374426787
AluSq2_dup56677,SINE,Breast,1135.7372236325648
AluSq2_dup56677,SINE,Colon,993.5368041633519
AluSq2_dup56677,SINE,ESC,661.1222029204256
AluSq2_dup56677,SINE,Esophagus,719.0067030552644
AluSq2_dup56677,SINE,Heart,497.4566951885705
AluSq2_dup56677,SINE,Kidney,452.8477662575184
AluSq2_dup56677,SINE,Liver,811.6222191573861
AluSq2_dup56677,SINE,Lung,417.21874405549863
AluSq2_dup56677,SINE,mTEC-hi,1400.3446930131972
AluSq2_dup56677,SINE,mTEC-lo,1834.65281823475
AluSq2_dup56677,SINE,Skeletal muscle,333.58026260868434
AluSq2_dup56677,SINE,Ovary,1558.0324223504672
AluSq2_dup56677,SINE,Pancreas,558.948687778157
AluSq2_dup56677,SINE,Prostate,603.5715682887583
AluSq2_dup56677,SINE,Skin (unexposed),558.4983336659478
AluSq2_dup56677,SINE,Skin (sun exposed),520.7389607590632
AluSq2_dup56677,SINE,Small intestine,1157.2860654399315
AluSq2_dup56677,SINE,Spleen,1467.403857421148
AluSq2_dup56677,SINE,Stomach,827.1432810222929
AluSq2_dup56677,SINE,Testis,937.3982248696306
AluSq2_dup56677,SINE,Thyroid,895.4198838901532
AluSx_dup32416,SINE,Adipose,1067.6379126487768
AluSx_dup32416,SINE,Adrenal gland,687.2604991647568
AluSx_dup32416,SINE,Basal ganglia,95.81052518587376
AluSx_dup32416,SINE,Cerebellum,860.1389829838729
AluSx_dup32416,SINE,Frontal cortex,145.31768046841606
AluSx_dup32416,SINE,Spinal cord,213.5225503212651
AluSx_dup32416,SINE,Substantia nigra,218.6090457596571
AluSx_dup32416,SINE,Breast,1651.1462943801323
AluSx_dup32416,SINE,Colon,687.4792340404204
AluSx_dup32416,SINE,ESC,464.6820146255816
AluSx_dup32416,SINE,Esophagus,549.5652720929348
AluSx_dup32416,SINE,Heart,227.92731671010935
AluSx_dup32416,SINE,Kidney,819.9736620238292
AluSx_dup32416,SINE,Liver,416.33568394300573
AluSx_dup32416,SINE,Lung,1299.9434205373063
AluSx_dup32416,SINE,mTEC-hi,587.6453772939445
