refseq_mrna,entrezgene_id,ensembl_gene_id,external_gene_name
NM_001199816,79017,ENSG00000006625,GGCT
NM_001199864,100529063,ENSG00000258643,BCL2L2-PABPN1
NM_001199900,5164,ENSG00000005882,PDK2
NM_001201459,130557,ENSG00000163795,ZNF513
NM_001202403,140459,ENSG00000148331,ASB6
NM_001202485,100529241,ENSG00000270757,HSPE1-MOB4
NM_001202547,100529257,ENSG00000258644,SYNJ2BP-COX16
NM_001202558,2342,ENSG00000257365,FNTB
NM_001203260,100532726,ENSG00000259112,NDUFC2-KCTD14
NM_001204062,100532731,ENSG00000269897,COMMD3-BMI1
NM_001204180,100533106,ENSG00000259305,ZHX1-C8orf76
NM_001204425,100533467,ENSG00000270181,BIVM-ERCC5
NM_001204848,79005,ENSG00000163156,SCNM1
NM_001204890,100534599,ENSG00000261796,ISY1-RAB43
NM_001205,662,ENSG00000113734,BNIP1
NM_001206,687,ENSG00000119138,KLF9
NM_001206491,57506,ENSG00000088888,MAVS
NM_001206682,11016,ENSG00000170653,ATF7
NM_001207,689,ENSG00000145741,BTF3
NM_001212,708,ENSG00000108561,C1QBP
NM_001219,813,ENSG00000128595,CALU
NM_001227,840,ENSG00000165806,CASP7
NM_001229,842,ENSG00000132906,CASP9
NM_001239,902,ENSG00000134480,CCNH
NM_001242393,55902,ENSG00000131069,ACSS2
NM_001243399,51022,ENSG00000023572,GLRX2
NM_001243650,81577,ENSG00000141098,GFOD2
NM_001243770,55719,ENSG00000119906,SLF2
NM_001243777,9702,ENSG00000166037,CEP57
NM_001244584,100996928,ENSG00000269955,FMC1-LUC7L2
NM_001247,955,ENSG00000197586,ENTPD6
NM_001252678,585,ENSG00000140463,BBS4
NM_001253,988,ENSG00000096401,CDC5L
NM_001254755,124936,ENSG00000167740,CYB5D2
NM_001256,996,ENSG00000004897,CDC27
NM_001256167,253639,ENSG00000177842,ZNF620
NM_001256197,369,ENSG00000078061,ARAF
NM_001256425,10611,ENSG00000163110,PDLIM5
NM_001256686,283106,ENSG00000254598,CSNK2A3
NM_001257069,55294,ENSG00000109670,FBXW7
NM_001258388,134145,ENSG00000150756,ATPSCKMT
NM_001260,1024,ENSG00000132964,CDK8
NM_001261,1025,ENSG00000136807,CDK9
NM_001261434,80755,ENSG00000266967,AARSD1
NM_001270680,90550,ENSG00000156026,MCU
NM_001270768,85369,ENSG00000143093,STRIP1
NM_001270977,9798,ENSG00000182149,IST1
NM_001271420,54902,ENSG00000011295,TTC19
NM_001271573,8800,ENSG00000166821,PEX11A
NM_001271592,100129361,ENSG00000281930,SMIM10L1
NM_001271592,100129361,ENSG00000256537,SMIM10L1
NM_001271643,63892,ENSG00000115970,THADA
NM_001271649,7697,ENSG00000197008,ZNF138
NM_001271840,64376,ENSG00000095574,IKZF5
NM_001272049,10131,ENSG00000126602,TRAP1
NM_001272051,283951,ENSG00000174109,C16orf91
NM_001273,1108,ENSG00000111642,CHD4
NM_001276293,11188,ENSG00000010322,NISCH
NM_001278,1147,ENSG00000213341,CHUK
NM_001281,1155,ENSG00000105254,TBCB
NM_001284,1176,ENSG00000177879,AP3S1
NM_001287,1186,ENSG00000103249,CLCN7
NM_001293,1207,ENSG00000074201,CLNS1A
