refseq_mrna,entrezgene_id,ensembl_gene_id,external_gene_name
NM_030955,81792,ENSG00000151388,ADAMTS12
NM_001200049,54777,ENSG00000171811,CFAP46
NM_001651,362,ENSG00000161798,AQP5
,1016,ENSG00000145526,CDH18
NM_001971,1990,ENSG00000139610,CELA1
NM_178013,145270,ENSG00000175785,PRIMA1
,118491,ENSG00000156042,CFAP70
NM_004923,9633,ENSG00000132749,TESMIN
,25960,ENSG00000020181,ADGRA2
NM_012391,25803,ENSG00000124664,SPDEF
NM_152338,653808,ENSG00000174992,ZG16
NM_145650,143662,ENSG00000169550,MUC15
NM_001105569,343930,ENSG00000151379,MSGN1
NM_032495,84525,ENSG00000171476,HOPX
,63941,ENSG00000125967,NECAB3
,3699,ENSG00000162267,ITIH3
NM_153366,79987,ENSG00000165124,SVEP1
,285489,ENSG00000175920,DOK7
NM_001317225,124912,ENSG00000141316,SPACA3
NM_145006,203328,ENSG00000157303,SUSD3
,286204,ENSG00000148204,CRB2
NM_014227,6527,ENSG00000100191,SLC5A4
,9355,ENSG00000106689,LHX2
NM_001271003,7980,ENSG00000105825,TFPI2
,10858,ENSG00000036530,CYP46A1
,261729,ENSG00000157214,STEAP2
NM_001189,579,ENSG00000109705,NKX3-2
NM_052943,115572,ENSG00000158246,TENT5B
NM_002272,3851,ENSG00000170477,KRT4
NM_014564,8022,ENSG00000107187,LHX3
,1837,ENSG00000134769,DTNA
NM_012344,23620,ENSG00000169006,NTSR2
,60681,ENSG00000141756,FKBP10
NM_133493,135228,ENSG00000156535,CD109
NM_005338,3092,ENSG00000127946,HIP1
,2116,ENSG00000105672,ETV2
NM_004947,1795,ENSG00000088538,DOCK3
,4313,ENSG00000087245,MMP2
NM_021784,3170,ENSG00000125798,FOXA2
,57144,ENSG00000101349,PAK5
NM_003353,7349,ENSG00000163794,UCN
NM_002246,3777,ENSG00000171303,KCNK3
,6663,ENSG00000100146,SOX10
NM_001321266,129642,ENSG00000143797,MBOAT2
NM_145260,130497,ENSG00000143867,OSR1
NM_022054,56659,ENSG00000152315,KCNK13
NM_000446,5444,ENSG00000005421,PON1
NM_001300866,27145,ENSG00000118407,FILIP1
,80115,ENSG00000128298,BAIAP2L2
NM_001293228,4613,ENSG00000134323,MYCN
NM_015123,23150,ENSG00000114541,FRMD4B
NM_024522,79570,ENSG00000084628,NKAIN1
,54210,ENSG00000124731,TREM1
NM_022454,64321,ENSG00000164736,SOX17
NM_004248,2834,ENSG00000119973,PRLHR
,1571,ENSG00000130649,CYP2E1
NM_002987,6361,ENSG00000102970,CCL17
,22979,ENSG00000084710,EFR3B
NM_001378423,285955,ENSG00000136206,SPDYE1
NM_001079675,2118,ENSG00000175832,ETV4
,83473,ENSG00000167216,KATNAL2
,5409,ENSG00000141744,PNMT
NM_005114,9957,ENSG00000002587,HS3ST1
NM_005117,9965,ENSG00000162344,FGF19
,53942,ENSG00000149972,CNTN5
NM_004102,2170,ENSG00000121769,FABP3
NM_152290,93190,ENSG00000157330,C1orf158
,7781,ENSG00000115194,SLC30A3
NM_001286434,161514,ENSG00000167139,TBC1D21
NM_198545,374946,ENSG00000162490,DRAXIN
NM_002424,4317,ENSG00000118113,MMP8
NM_207370,387509,ENSG00000158292,GPR153
,9064,ENSG00000142733,MAP3K6
,10003,ENSG00000077616,NAALAD2
NM_016239,51168,ENSG00000091536,MYO15A
