Probe Set ID,WT average,KO average,,Student TTEST,Gene Symbol,Entrez Gene
1423040_at,759.472962,666.457282,-1.13956735489612,0.043362990082017,Bzw1,66882
1434375_at,244.616318,272.232424,-0.898556881674021,0.060174463407804,Fam168a,319604
1428955_x_at,32.9013462,36.6155968,-0.898560970608022,0.139183298344251,Slc9a3r2,65962
1447496_s_at,79.105095,69.4180512,-1.13954646712986,0.02943454890668,Fank1,66930
1450683_at,16.448201,18.304777,-0.898574235567033,0.208350447673157,Tagln3,56370
1449020_at,213.330238,237.407522,-0.898582472041471,0.200638822395633,Plscr3,70310
1435708_at,34.7337898,38.6533364,-0.898597457165431,0.490722356667797,,
1440462_at,15.6159078,17.3779527,-0.898604574979652,0.051871306175637,B930068K11Rik,320622
1432420_a_at,11.7197062,13.0420396,-0.898609922944875,0.136075842560043,2310002L09Rik,71886
1427998_at,128.91041,143.451892,-0.89863164718664,0.23084037126459,Lsm12,268490
1442417_at,47.9786202,53.3902922,-0.898639400965856,0.222098186237542,Med8,80509
1460157_at,7.5100357,8.35701176,-0.898650847417259,0.161285106030734,,
1442342_at,30.0546836,33.4438682,-0.89866050841571,0.116950711589977,Sp6,83395
1454718_at,105.358946,117.239078,-0.898667473314657,0.202408058256691,Nagpa,27426
1419749_at,219.83431,192.922942,-1.1394928343981,0.035188806966846,Trdmt1,13434
1438710_at,17.1067916,15.0134686,-1.1394296718348,0.047974510666451,Htr1a,15550
1451081_a_at,465.462576,517.92944,-0.898698818897029,0.157849125757859,Tcf25,66855
1430557_at,10.2849244,11.4441455,-0.898706189990332,0.206495349211648,4930434J08Rik,73979
1431778_at,15.7498056,17.5247928,-0.898715652718017,0.086158370635619,Cars2,71941
1422254_a_at,74.1555026,82.510805,-0.89873686967422,0.206801587943698,Dyrk1b,13549
1431361_at,20.3793792,22.6752812,-0.898748686741755,0.056931603552748,Prcp,72461
1428033_at,18.8039662,20.922378,-0.898748994975619,0.14330933277808,Zfp937,245174
1438510_a_at,1195.73738,1330.44166,-0.898752208345611,0.142099129230063,Hars,15115
1431106_a_at,25.0486586,27.8701338,-0.898763485663639,0.326796651491096,9530053H05Rik,78425
1430257_at,11.508188,12.8040744,-0.898791091060827,0.105502858838367,Card11,108723
1436686_at,11.7322262,13.0533216,-0.898792396258742,0.086869165766216,Gm10193///Zfp706,100042023///68036
1423997_at,1103.45288,1227.69872,-0.898797776705347,0.156776148013519,Csde1,229663
1458895_at,11.8804584,13.2181166,-0.898801149930846,0.084477413564245,Naa11,97243
1449641_at,9.6741518,10.7633584,-0.898804205943751,0.183537993753085,Adk,11534
1425242_at,85.002094,94.5715788,-0.898812254998539,0.085085288770179,1810006K21Rik,69038
1430438_at,12.3328432,13.7210774,-0.898824694334863,0.110114147978823,Bod1l,665775
1429024_at,102.0716468,113.5609364,-0.898827097026298,0.187724315841633,Rbm20,73713
1431376_at,8.8473481,9.8429472,-0.898851524876614,0.255890615534088,LOC100862584///Wdr62,100862584///233064
1440687_at,13.0475018,11.4518711,-1.13933362383026,0.024165338647349,,
1455739_at,77.855712,86.6144428,-0.898876786401263,0.060991182180537,Gm4980,100503386
1425069_at,19.2527062,21.4185654,-0.898879352582597,0.387274885353339,Cyp2d34,223706
1417821_at,7372.5902,8201.92294,-0.898885572802029,0.184920031282896,D17H6S56E-5,110956
1432437_at,20.0428642,22.2971336,-0.898898690726776,0.238055320279222,Tmem217,71138
1426286_at,147.713378,129.660206,-1.1392344849429,0.021032444179381,Noc3l,57753
1442538_at,15.5761308,17.32754,-0.898923378621547,0.192151728514275,,
1417868_a_at,6203.49352,6900.97876,-0.898929519383132,0.224300521200782,Ctsz,64138
1425755_at,14.2731487,15.8772201,-0.898970261173113,0.093795872903194,Mtcp1,17763
1450097_s_at,41.969452,46.6858094,-0.898976638498636,0.251153524614154,Gna12,14673
1459337_at,16.7267978,18.6062942,-0.898985989375574,0.066703830538819,Alg6,320438
1428264_at,340.240588,298.688958,-1.13911337827226,0.00664845735869,Snrnp40,66585
1439600_at,40.3194442,44.8497612,-0.898989049689745,0.313963821013145,,
1419584_at,127.1401708,141.425334,-0.898991483378784,0.325612561672992,Ttc28,209683
1442014_at,572.127762,636.396722,-0.899011170582365,0.357757130043932,,
1418970_a_at,2002.18042,1757.69098,-1.1390969418299,0.001199148782002,Bcl10,12042
1455419_at,21.8793474,24.3363166,-0.899041040582123,0.130697526648962,D630045J12Rik,330286
1455556_at,557.65928,620.27805,-0.899047257919251,0.26304337023465,Notch2,18129
1421475_at,16.7911718,14.7408168,-1.13909371697775,0.00108584595301,Ms4a2,14126
1457093_at,50.7996462,56.502127,-0.899074935709943,0.096418721739168,Gapvd1,66691
1433803_at,793.761634,882.848172,-0.899091892779045,0.112694065141582,Jak1,16451
1417855_at,139.82429,155.516972,-0.899093444283368,0.076641122680501,Fbxl15,68431
1439705_at,20.8755678,23.2179104,-0.899114840239887,0.198672200940895,,
