Ensembl,EntrezGene,ProbeSetID,WTaverage,KOaverage,FoldChange,StudentTTEST,GeneSymbol
ENSMUSG00000030499,233107,1435339_at,585.250114,263.198154,-2.22361025374061,9.87111236132528e-6,Kctd15
ENSMUSG00000045573,18619,1427038_at,671.098312,302.110414,-2.22136768843725,1.77095640686e-4,Penk
ENSMUSG00000026645,99035,1451510_s_at,77.3644534,34.8668426,-2.21885458019649,0.001103661198075,Olah
ENSMUSG00000005339,14125,1421775_at,68.8540478,31.0953106,-2.21429040171736,9.57227076865e-4,Fcer1a
ENSMUSG00000040899,12458,1450357_a_at,315.756002,142.6283892,-2.21383697713386,2.84286566312e-4,Ccr6
ENSMUSG00000028158,17777,1419399_at,141.2826572,63.8691566,-2.21206392445145,1.3264903693961e-5,Mttp
ENSMUSG00000023045,223920,1460722_at,537.128444,243.474258,-2.20609952120688,3.83352581187e-4,Soat2
ENSMUSG00000003657,12308,1451129_at,467.699394,213.108256,-2.1946563815904,8.60291997324e-4,Calb2
ENSMUSG00000024401,21926,1419607_at,258.483082,117.783506,-2.19456094302372,1.12671500874533e-5,Tnf
ENSMUSG00000044309,108956,1434152_at,462.97734,210.96765,-2.19454186459393,3.55150956557e-4,Apol7c///Gm8221
NA,666661,1434152_at,462.97734,210.96765,-2.19454186459393,3.55150956557e-4,Apol7c///Gm8221
ENSMUSG00000024897,319924,1455369_at,117.8743172,53.7128666,-2.19452664997031,1.17074219361957e-5,Apba1
ENSMUSG00000030945,233799,1456190_a_at,67.0301726,30.611406,-2.18971231180953,2.11191454541e-4,Acsm2
ENSMUSG00000032083,11806,1419233_x_at,1128.1086,515.277626,-2.18932191711347,6.14643901896118e-5,Apoa1
ENSMUSG00000066800,24014,1426603_at,328.669794,150.197989,-2.18824363886789,0.022725147489238,Rnasel
ENSMUSG00000075552,100041375,1419704_at,96.9899258,44.4086254,-2.18403350534691,0.008032383812366,Cyp3a41a///Cyp3a41b
ENSMUSG00000075551,53973,1419704_at,96.9899258,44.4086254,-2.18403350534691,0.008032383812366,Cyp3a41a///Cyp3a41b
ENSMUSG00000035592,71888,1449387_at,70.185568,32.2172186,-2.17851108971896,0.001669731417821,Krt33a
ENSMUSG00000050908,383103,1435130_at,686.71385,315.3609,-2.17754911912035,2.74705185533e-4,Fam18a
ENSMUSG00000021294,668303,1447933_at,524.943698,241.202024,-2.17636522817901,7.1766183701e-4,Kif26a
NA,100502895,1435119_at,317.486834,145.906972,-2.17595382625033,0.0094966160124300009,Gm19439
ENSMUSG00000023800,24001,1423186_at,178.0388,81.901133,-2.17382584927122,6.11122984734501e-6,Tiam2
ENSMUSG00000050645,246700,1456076_at,344.737944,158.825218,-2.17054916304286,0.009868199585251,Defb19
ENSMUSG00000039194,19771,1418310_a_at,40.866799,18.8291976,-2.17039514206383,2.47980904230373e-5,Rlbp1
ENSMUSG00000029752,27053,1433966_x_at,302.220718,139.413174,-2.16780602097188,9.28486131983611e-7,Asns
ENSMUSG00000029630,56388,1424973_at,77.512554,35.7878244,-2.1658917606626,4.29168050365e-4,Cyp3a25
ENSMUSG00000028148,66198,1453801_at,86.088654,39.7750532,-2.16438815473413,7.63522950551e-5,Them5
ENSMUSG00000056145,229694,1455161_at,87.583551,40.5695652,-2.15884864844447,1.37511439011e-4,AI504432
ENSMUSG00000020383,16163,1420802_at,753.013454,349.149144,-2.15671001043611,6.49170569245875e-5,Il13
ENSMUSG00000028553,30924,1424485_at,42.812307,19.8594968,-2.15575990827723,0.035563669776994,Angptl3
ENSMUSG00000027965,229759,1425898_x_at,94.340743,43.7943894,-2.15417418286919,0.001207706520034,Olfm3
ENSMUSG00000044294,16680,1451551_at,156.908808,72.846638,-2.15396087325265,7.04031786424475e-7,Krt84
ENSMUSG00000074768,12116,1450624_at,129.751532,60.2514584,-2.15350027112373,3.54941702575e-4,Bhmt
ENSMUSG00000058135,14862,1448330_at,517.759898,240.588086,-2.15205959118025,1.04905108443878e-5,Gstm1
ENSMUSG00000022496,21935,1420782_at,175.713846,81.66739,-2.15157905744263,6.50528178749744e-5,Tnfrsf17
