Ensembl,gene_symbol,Aire_pos_TEC,Aire_ko_TEC,fold_change,FDR_BH
ENSMUSG00000024593,Megf10,71.9430987941,1.79128002423,0.0248985664262,2.60174476787e-16
ENSMUSG00000044172,Ptx4,73.444216801,1.82992657984,0.0249158702965,9.46344709363e-14
ENSMUSG00000048582,Gja3,23.9613203136,0.59709334141,0.0249190501022,2.30686725817e-7
ENSMUSG00000001670,Tat,169.370140583,4.23762322329,0.0250198955301,7.39914255424e-31
ENSMUSG00000033006,Sox10,217.368047569,5.45113318391,0.025077895509,4.65159488273e-35
ENSMUSG00000034456,Uroc1,242.305024434,6.08687308094,0.0251207051738,3.77137664139e-37
ENSMUSG00000038750,Omt2b,47.4993263731,1.19418668282,0.0251411288118,1.16564285712e-12
ENSMUSG00000027880,4930443G12Rik,24.4760294318,0.616416619216,0.0251845022875,1.82821190985e-7
ENSMUSG00000039358,Drd5,24.4545247579,0.616416619216,0.0252066488847,1.29957461615e-4
ENSMUSG00000022097,Sftpc,144.336392685,3.65985315968,0.0253564128326,1.86853576504e-14
ENSMUSG00000068889,Lce1e,23.4949967117,0.59709334141,0.0254136380071,1.9871421792e-7
ENSMUSG00000041544,Ptchd2,48.5018637672,1.23283323843,0.0254182652516,3.10332945912e-13
ENSMUSG00000005357,Slc1a6,23.4896205432,0.59709334141,0.0254194545336,5.44534187008e-4
ENSMUSG00000026805,Barhl1,47.5477118894,1.21350996063,0.0255219423271,1.40824612741e-12
ENSMUSG00000022101,Fgf17,70.495742472,1.81060330204,0.0256838674017,3.60696814579e-9
ENSMUSG00000068522,Aard,23.0501777837,0.59709334141,0.0259040666416,1.44496641908e-7
ENSMUSG00000091744,Gm17732,22.9910399304,0.59709334141,0.0259706974202,3.56984034013e-7
ENSMUSG00000052221,Ppp1r36,23.5165013856,0.616416619216,0.0262120886568,1.51891978534e-5
ENSMUSG00000063661,Krt73,1005.78431069,26.5812794669,0.0264284093362,8.68051196612e-92
ENSMUSG00000056605,Krt72-ps,321.029333573,8.49456972438,0.0264604160306,5.24792657678e-34
ENSMUSG00000074424,Gm10696,45.1139466787,1.19418668282,0.0264704547204,8.10204198643e-13
ENSMUSG00000027793,Ccna1,46.5720553378,1.23283323843,0.0264715230945,1.21843113708e-5
ENSMUSG00000056900,Usp13,67.6332868387,1.79128002423,0.0264851836715,2.25827299334e-18
ENSMUSG00000034533,Scn10a,116.113645932,3.08208309608,0.0265436768551,2.04485742163e-18
ENSMUSG00000046470,Sox18,89.6916795653,2.38837336564,0.0266287059983,5.14113717839e-21
ENSMUSG00000028167,Bdh2,90.1633793357,2.40769664345,0.0267037089912,4.47268564754e-21
